PK,SK,name,hiragana,level,english,vietnamese,lexical_category,accent_up,accent_down
WORDS,56,デパート,デパート,3,department stores,cửa hàng bách hóa,noun,1,2
WORDS,57,映画館,えいがかん,3,movie theatre,rạp chiếu phim,noun,1,3
WORDS,58,本屋,ほんや,2,book store,cửa hàng sách,noun,,1
WORDS,59,花屋,はなや,2,florist,người bán hoa,noun,1,2
WORDS,60,ケーキ屋,ケーキや,3,cake shop,tiệm bánh,noun,1,
WORDS,61,ラーメン屋,ラーメンや,3,ramen shop,cửa hàng mì ramen,noun,1,
WORDS,62,カレー屋,カレーや,3,curry restaurant,nhà hàng cà ri,noun,1,
WORDS,63,コンビニ,コンビニ,2,convenience store,cửa hàng tiện lợi,noun,1,
WORDS,64,家,うち,3,house,căn nhà,noun,1,
WORDS,65,学校,がっこう,1,school,trường học,noun,1,
WORDS,66,大学,だいがく,2,university,trường đại học,noun,1,
WORDS,67,アパート,アパート,2,apartment,căn hộ,noun,1,2
WORDS,68,トイレ,トイレ,1,toilet,nhà vệ sinh,noun,,1
WORDS,69,博物館,はくぶつかん,3,museum,bảo tàng,noun,1,4
WORDS,70,公園,こうえん,1,park,công viên,noun,1,
WORDS,71,大使館,たいしかん,3,embassy,đại sứ quán,noun,1,3
WORDS,72,町,まち,2,town,thị trấn,noun,1,
WORDS,73,北口,きたぐち,3,north exit,lối ra phía bắc,noun,1,
WORDS,74,南口,みなみぐち,3,south exit,lối ra phía nam,noun,1,
WORDS,75,東口,ひがしぐち,3,east exit,lối ra phía đông,noun,1,
WORDS,76,西口,にしぐち,3,west exit,lối ra phía tây,noun,1,
WORDS,77,季節,きせつ,2,season,mùa,noun,,1
WORDS,78,春,はる,2,spring,mùa xuân,noun,,1
WORDS,79,夏,なつ,2,summer,mùa hè,noun,1,
WORDS,80,秋,あき,2,autumn,mùa thu,noun,,1
WORDS,81,冬,ふゆ,2,winter,mùa đông,noun,1,
WORDS,82,家族,かぞく,2,family,gia đình,noun,,1
WORDS,83,友達,ともだち,2,friend,bạn bè,noun,1,
WORDS,84,父,ちち,3,father,bố,noun,,1
WORDS,85,お父さん,おとうさん,1,father,bố,noun,1,2
WORDS,86,母,はは,3,mother,mẹ,noun,,1
WORDS,87,お母さん,おかあさん,1,mother,mẹ,noun,1,2
WORDS,88,兄,あに,3,older brother,anh trai,noun,,1
WORDS,89,お兄さん,おにいさん,2,older brother,anh trai,noun,1,2
WORDS,90,姉,あね,3,sister,em gái,noun,1,
WORDS,91,お姉さん,おねえさん,2,older sister,chị gái,noun,1,2
WORDS,92,弟,おとうと,2,younger brother,em trai,noun,1,
WORDS,93,妹,いもうと,2,younger sister,em gái,noun,1,
WORDS,94,兄弟,きょうだい,3,brothers,anh em,noun,,1
WORDS,95,息子,むすこ,3,son,con trai,noun,1,
WORDS,96,娘,むすめ,3,daughter,con gái,noun,1,
WORDS,97,男,おとこ,2,man,người đàn ông,noun,1,
WORDS,98,女,おんな,2,woman,đàn bà,noun,1,
WORDS,99,夫,おっと,2,husband,chồng,noun,1,
WORDS,100,ご主人,ごしゅじん,3,husband,chồng,noun,1,2
WORDS,101,妻,つま,2,wife,vợ,noun,,1
WORDS,102,奥さん,おくさん,3,wife,vợ,noun,,1
WORDS,103,両親,りょうしん,3,parents,cha mẹ,noun,,1
WORDS,104,子供,こども,1,child,đứa trẻ,noun,1,
WORDS,105,祖父,そふ,3,grandfather,ông nội,noun,,1
WORDS,106,おじいさん,おじいさん,2,grandfather,ông nội,noun,1,2
WORDS,107,祖母,そぼ,3,grandmother,bà ngoại,noun,,1
WORDS,108,おばあさん,おばあさん,2,granny,bà già,noun,1,2
WORDS,109,叔父,おじ,3,uncle,chú ,noun,1,
WORDS,110,叔母,おば,3,aunt,dì,noun,1,
WORDS,111,孫,まご,3,grandchild,cháu nội,noun,1,
WORDS,112,動物,どうぶつ,1,animal,động vật,noun,1,
WORDS,113,豚,ぶた,2,pig,con lợn,noun,1,
WORDS,114,牛,うし,2,cattle,gia súc,noun,1,
WORDS,115,鶏,にわとり,2,chicken,thịt gà,noun,1,
WORDS,116,服,ふく,1,clothes,quần áo,noun,,1
WORDS,117,着物,きもの,3,kimono,kimono,noun,1,
WORDS,118,帽子,ぼうし,2,hat,mũ,noun,1,
WORDS,119,スーツ,スーツ,3,suit,bộ đồ,noun,,1
WORDS,120,ジャケット,ジャケット,3,jacket,áo khoác,noun,,1
WORDS,121,セーター,セーター,3,sweater,áo len,noun,,1
WORDS,122,コート,コート,3,coat,áo choàng,noun,,1
WORDS,124,ドレス,ドレス,3,dress,đầm,noun,,1
WORDS,125,下着,したぎ,2,underwear,đồ lót,noun,1,
WORDS,126,イヤリング,イヤリング,3,earrings,hoa tai,noun,,1
WORDS,127,ベルト,ベルト,3,belt,thắt lưng,noun,1,
WORDS,128,ネクタイ,ネクタイ,3,tie,cà vạt,noun,,1
WORDS,129,手袋,てぶくろ,3,gloves,găng tay,noun,1,2
WORDS,130,眼鏡,めがね,2,glasses,kính,noun,,1
WORDS,131,サングラス,サングラス,3,sunglasses,kính mát,noun,1,3
WORDS,132,ズボン,ズボン,2,pants,quần dài,noun,,1
WORDS,133,スカート,スカート,2,skirt,váy ngắn,noun,1,3
WORDS,134,靴下,くつした,2,socks,tất,noun,1,2
WORDS,135,靴,くつ,1,shoes,đôi giày,noun,1,
WORDS,136,サンダル,サンダル,2,sandals,dép xăng đan,noun,1,
WORDS,137,海,うみ,1,sea,biển,noun,,1
WORDS,138,川,かわ,2,river,dòng sông,noun,1,
WORDS,139,山,やま,1,mountain,núi,noun,1,
WORDS,140,風,かぜ,3,wind,gió,noun,1,
WORDS,141,木,き,1,tree,cây,noun,,
WORDS,142,森,もり,2,forest,rừng,noun,1,
WORDS,143,空,そら,2,sky,bầu trời,noun,,1
WORDS,144,雲,くも,2,cloud,đám mây,noun,,1
WORDS,145,池,いけ,3,pond,ao,noun,1,
WORDS,146,花,はな,2,flower,hoa,noun,1,
WORDS,147,草,くさ,3,grass,cỏ,noun,1,
WORDS,148,体,からだ,1,body,thân hình,noun,1,
WORDS,149,頭,あたま,1,head,cái đầu,noun,1,
WORDS,150,首,くび,2,neck,cổ ,noun,1,
WORDS,151,腕,うで,2,arm,cánh tay,noun,1,
WORDS,152,指,ゆび,3,finger,ngón tay,noun,1,
WORDS,153,口,くち,2,mouth,miệng,noun,1,
WORDS,154,耳,みみ,2,ear,tai,noun,1,
WORDS,155,目,め,1,eye,mắt ,noun,,
WORDS,156,鼻,はな,2,nose,mũi,noun,1,
WORDS,157,髪,かみ,2,hair,tóc,noun,1,
WORDS,158,食べ物,たべもの,2,food,đồ ăn,noun,1,3
WORDS,159,料理,りょうり,2,cooking,nấu ăn,noun,,1
WORDS,160,ご飯,ごはん,1,cooked rice,cơm nấu chín,noun,,1
WORDS,161,パン,パン,2,bread,bánh mỳ,noun,,1
WORDS,162,ラーメン,ラーメン,3,ramen,mì ramen,noun,,1
WORDS,163,スパゲッティ,スパゲッティ,3,spaghetti,mì ống,noun,1,
WORDS,164,カレーライス,カレーライス,2,curry rice,cơm cà ri,noun,1,4
WORDS,165,ハンバーガー,ハンバーガー,3,hamburger,bánh hamburger,noun,1,3
WORDS,166,サンドウィッチ,サンドウィッチ,3,sandwiches,bánh sandwich,noun,1,4
WORDS,167,ドーナツ,ドーナッツ,3,donut,bánh rán,noun,,1
WORDS,168,弁当,べんとう,2,lunch box,hộp đựng cơm trưa,noun,1,3
WORDS,169,アイスクリーム,アイスクリーム,3,ice cream,kem,noun,1,5
WORDS,170,ケーキ,ケーキ,2,cake,bánh ngọt,noun,,1
WORDS,171,朝ご飯,あさごはん,2,breakfast,bữa sáng,noun,1,3
WORDS,172,昼ご飯,ひるごはん,3,lunch,bữa trưa,noun,1,3
WORDS,173,晩ご飯,ばんごはん,3,dinner,bữa tối,noun,1,3
WORDS,174,スープ,スープ,3,soup,canh,noun,,1
WORDS,175,うどん,うどん,2,udon,mì udon,noun,1,
WORDS,176,味噌汁,みそしる,3,miso soup,súp miso,noun,1,3
WORDS,177,ピザ,ピザ,3,pizza,bánh pizza,noun,,1
WORDS,178,おにぎり,おにぎり,2,onigiri,cơm nắm,noun,1,2
WORDS,179,牛肉,ぎゅうにく,1,beef,thịt bò,noun,1,
WORDS,180,豚肉,ぶたにく,1,pork,thịt lợn,noun,1,
WORDS,181,鶏肉,とりにく,2,chicken meat,thịt gà,noun,1,
WORDS,182,卵,たまご,2,egg,trứng,noun,1,2
WORDS,183,水,みず,1,water,nước,noun,1,
WORDS,184,牛乳,ぎゅうにゅう,2,milk,sữa,noun,1,
WORDS,185,ビール,ビール,2,beer ,bia ,noun,,1
WORDS,186,お茶,おちゃ,3,tea,trà,noun,1,
WORDS,187,コーヒー,コーヒー,2,coffee,cà phê,noun,1,3
WORDS,188,ワイン,ワイン,3,wine,rượu ,noun,,1
WORDS,189,ジュース,ジュース,2,juice,nước ép,noun,,1
WORDS,190,お酒,おさけ,1,alcohol,rượu bia,noun,1,
WORDS,191,りんご,りんご,1,apple,quả táo,noun,1,
WORDS,192,バナナ,バナナ,3,banana,chuối,noun,,1
WORDS,193,みかん,みかん,1,mandarin orange,quýt,noun,,1
WORDS,194,苺,いちご,3,strawberry,quả dâu,noun,1,
WORDS,195,車,くるま,2,car,xe hơi,noun,1,
WORDS,196,タクシー,タクシー,3,taxi,taxi,noun,,1
WORDS,197,バス,バス,2,bus,xe buýt,noun,,1
WORDS,198,バイク,バイク,3,autobike,xe máy,noun,,1
WORDS,199,自転車,じてんしゃ,2,bicycle,xe đạp,noun,1,
WORDS,200,電車,でんしゃ,2,train,tàu điện,noun,1,
WORDS,201,地下鉄,ちかてつ,3,subway,tàu điện ngầm,noun,1,
WORDS,202,飛行機,ひこうき,2,plane,máy bay,noun,1,2
WORDS,203,船,ふね,3,boat,thuyền,noun,,1
WORDS,204,テニス,テニス,3,tennis,quần vợt,noun,,1
WORDS,205,サッカー,サッカー,2,soccer,bóng đá,noun,,1
WORDS,206,バスケットボール,バスケットボール,3,basketball,bóng rổ,noun,1,6
WORDS,207,ゴルフ,ゴルフ,3,golf,golf,noun,,1
WORDS,208,野球,やきゅう,3,baseball,bóng chày,noun,1,
WORDS,209,卓球,たっきゅう,3,table tennis,bóng bàn,noun,1,
WORDS,210,鉛筆,えんぴつ,2,pencil,bút chì,noun,1,
WORDS,211,ペン,ペン,1,pen,cái bút,noun,,1
WORDS,212,ボールペン,ボールペン,2,ballpoint pen,bút bi,noun,1,
WORDS,213,シャープペンシル,シャーペン,2,mechanical pencil,bút chì cơ khí,noun,1,4
WORDS,214,万年筆,まんねんひつ,3,fountain pen,bút máy,noun,1,3
WORDS,215,消しゴム,けしゴム,3,eraser,cục tẩy,noun,1,
WORDS,216,はさみ,はさみ,2,scissors,kéo,noun,1,2
WORDS,217,紙,かみ,2,paper,giấy,noun,1,
WORDS,218,ノート,ノート,3,notes,ghi chú,noun,,1
WORDS,219,筆箱,ふでばこ,3,pencil case,hộp đựng bút chì,noun,1,
WORDS,220,計算機,けいさんき,3,calculator,máy tính,noun,1,3
WORDS,222,玄関,げんかん,2,entrance,cổng vào,noun,,1
WORDS,223,台所,だいどころ,3,kitchen,phòng bếp,noun,1,
WORDS,224,部屋,へや,1,room,phòng,noun,1,
WORDS,225,ドア,ドア,2,door,cửa,noun,,1
WORDS,226,テーブル,テーブル,3,table,bàn,noun,1,
WORDS,227,椅子,イス,2,chair,cái ghế,noun,1,
WORDS,228,机,つくえ,1,desk,bàn làm việc,noun,1,
WORDS,229,押し入れ,おしいれ,3,closet,buồng nhỏ,noun,1,
WORDS,230,本棚,ほんだな,3,bookshelf,kệ sách,noun,,1
WORDS,231,窓,まど,2,window,cửa sổ,noun,,1
WORDS,232,階段,かいだん,2,stairs,cầu thang,noun,1,
WORDS,233,ベッド,ベッド,2,bed,giường,noun,,1
WORDS,234,花瓶,かびん,3,vase,lọ cắm hoa,noun,1,
WORDS,235,屋根,やね,3,roof,mái nhà,noun,,1
WORDS,236,キッチン,キッチン,3,kitchen,phòng bếp,noun,,1
WORDS,237,エアコン,エアコン,3,air conditioning,điều hòa không khí,noun,1,
WORDS,238,日曜日,にちようび,1,sunday,chủ nhật,noun,1,3
WORDS,239,月曜日,げつようび,1,monday,thứ hai,noun,1,3
WORDS,240,火曜日,かようび,2,tuesday,thứ ba,noun,1,2
WORDS,241,水曜日,すいようび,2,wednesday,thứ tư,noun,1,3
WORDS,242,木曜日,もくようび,2,thursday,thứ năm,noun,1,3
WORDS,243,金曜日,きんようび,2,friday,thứ sáu,noun,1,3
WORDS,244,土曜日,どようび,1,saturday,thứ bảy,noun,1,2
WORDS,245,一昨日,おととい,2,the day before yesterday,ngày hôm kia,noun,1,3
WORDS,246,昨日,きのう,1,yesterday,hôm qua,noun,1,2
WORDS,247,今日,きょう,1,today,hôm nay,noun,,1
WORDS,248,明日,あした,1,tomorrow,ngày mai,noun,1,
WORDS,249,明後日,あさって,2,the day after tomorrow,ngày kia,noun,1,2
WORDS,250,先週,せんしゅう,2,last week,tuần trước,noun,1,
WORDS,251,今週,こんしゅう,2,this week,tuần này,noun,1,
WORDS,252,来週,らいしゅう,2,next week,tuần tới,noun,1,
WORDS,253,先月,せんげつ,3,last month,tháng trước,noun,,1
WORDS,254,今月,こんげつ,2,this month,tháng này,noun,1,
WORDS,255,来月,らいげつ,3,next month,tháng tới,noun,,1
WORDS,256,去年,きょねん,2,last year,năm ngoái,noun,,1
WORDS,257,今年,ことし,1,this year,năm nay,noun,1,
WORDS,258,来年,らいねん,2,next year,năm sau,noun,1,
WORDS,259,毎日,まいにち,2,every day,mỗi ngày,noun,,1
WORDS,260,毎週,まいしゅう,2,every week,mỗi tuần,noun,1,
WORDS,261,毎晩,まいばん,3,every night,mỗi đêm,noun,,1
WORDS,262,今朝,けさ,3,this morning,sáng nay,noun,,1
WORDS,263,今晩,こんばん,2,tonight,tối nay,noun,,1
WORDS,264,昨夜,さくや,3,last night,tối hôm qua,noun,1,2
WORDS,265,誕生日,たんじょうび,2,birthday,sinh nhật,noun,1,3
WORDS,266,音楽,おんがく,2,music,âm nhạc,noun,,1
WORDS,267,ピアノ,ピアノ,2,piano,đàn piano,noun,1,
WORDS,268,ギター,ギター,3,guitar,đàn ghita,noun,,1
WORDS,269,カラオケ,カラオケ,3,karaoke,hát karaoke,noun,1,
WORDS,270,働きます,はたらきます,1,to work,để làm việc,verb5,1,5
WORDS,271,行きます,いきます,1,to go,đi,verb5,1,3
WORDS,272,帰ります,かえります,1,to return home,để trở về nhà,verb5,1,4
WORDS,273,飲みます,のみます,1,to drink,uống,verb5,1,3
WORDS,274,読みます,よみます,1,to read,để đọc,verb5,1,3
WORDS,275,買います,かいます,1,to buy,để mua,verb5,1,3
WORDS,276,聞きます,ききます,1,to listen,để lắng nghe,verb5,1,3
WORDS,277,撮ります,とります,2,to take a picture,chụp ảnh,verb5,1,3
WORDS,278,会います,あいます,3,to meet,để gặp gỡ,verb5,1,3
WORDS,279,吸います,すいます,3,to suck,để hút,verb5,1,3
WORDS,280,切ります,きります,2,to cut,cắt,verb5,1,3
WORDS,281,終わります,おわります,2,to finish,để hoàn thành,verb5,1,4
WORDS,282,習います,ならいます,3,to learn,để học,verb5,1,4
WORDS,283,貸します,かします,3,to lend,cho vay,verb5,1,3
WORDS,284,もらいます,もらいます,2,to receive,để nhận được,verb5,1,4
WORDS,285,笑います,わらいます,2,to laugh,cười,verb5,1,4
WORDS,286,渡します,わたします,2,to pass / to hand,chuyền / đưa tay,verb5,1,4
WORDS,287,叱ります,しかります,3,to scold,mắng mỏ,verb5,1,4
WORDS,288,歌います,うたいます,3,to sing,hát,verb5,1,4
WORDS,289,踊ります,おどります,3,to dance,nhảy múa,verb5,1,4
WORDS,290,弾きます,ひきます,3,to play (an instrument),chơi (một nhạc cụ),verb5,1,3
WORDS,291,泣きます,なきます,3,to cry,khóc,verb5,1,3
WORDS,292,怒ります,おこります,3,to get angry,nổi giận,verb5,1,4
WORDS,293,言います,いいます,1,to say,để nói,verb5,1,3
WORDS,294,話します,はなします,3,to talk,để nói chuyện,verb5,1,4
WORDS,295,立ちます,たちます,3,to stand up,đứng lên,verb5,1,3
WORDS,296,座ります,すわります,1,to sit down,ngồi xuống,verb5,1,4
WORDS,297,出します,だします,2,to put out,để đưa ra,verb5,1,3
WORDS,298,住みます,すみます,2,to live,để sống,verb5,1,3
WORDS,299,作ります,つくります,2,to make,để làm,verb5,1,4
WORDS,300,売ります,うります,2,to sell,để bán,verb5,1,3
WORDS,301,使います,つかいます,2,to use,sử dụng,verb5,1,4
WORDS,302,遊びます,あそびます,2,to play,để chơi,verb5,1,4
WORDS,303,かかります,かかります,3,to cost (money) / take (time),tốn (tiền) / mất (thời gian),verb5,1,4
WORDS,304,急ぎます,いそぎます,3,to hurry,vội vã,verb5,1,4
WORDS,307,起きます,おきます,1,to wake up,thức dậy,verb1up,1,3
WORDS,308,寝ます,ねます,1,to sleep,ngủ,verb1down,1,2
WORDS,309,食べます,たべます,1,to eat,ăn,verb1down,1,3
WORDS,310,見せます,みせます,3,to show,để hiển thị,verb1down,1,3
WORDS,311,出かけます,でかけます,3,to go out,đi ra ngoài,verb1down,1,4
WORDS,312,浴びます,あびます,3,to take a shower,đi tắm,verb1up,1,3
WORDS,314,始めます,はじめます,1,to start,để bắt đầu,verb1down,1,4
WORDS,315,教えます,おしえます,1,to teach,để dạy,verb1down,1,4
WORDS,316,借ります,かります,2,to borrow,vay mượn,verb1up,1,3
WORDS,317,あげます,あげます,2,to give,để cho,verb1down,1,3
WORDS,318,入れます,いれます,3,to put in,để đưa vào,verb1down,1,3
WORDS,319,足ります,たります,3,to saffice,để sa thải,verb1up,1,3
WORDS,320,勤めます,つとめます,3,to work,để làm việc,verb1down,1,4
WORDS,321,開けます,あけます,2,to open,để mở,verb1down,1,3
WORDS,322,閉めます,しめます,2,to close,để đóng lại,verb1down,1,3
WORDS,324,消します,けします,2,to delete,để xóa,verb5,1,3
WORDS,325,勉強します,べんきょうします,1,to learn study,để học tập nghiên cứu,verb_sa,1,6
WORDS,326,食事します,しょくじします,3,to have a meal,để có một bữa ăn,verb_sa,1,5
WORDS,327,来ます,きます,2,to come,đến,verb_ka,1,2
WORDS,329,します,します,1,to do,để làm,verb_sa,1,2
WORDS,331,練習します,れんしゅうします,1,to practice,để thực hành,verb_sa,1,6
WORDS,332,復習します,ふくしゅうします,3,to review,để xem lại,verb_sa,1,6
WORDS,333,結婚します,けっこんします,2,to marry,để kết hôn,verb_sa,1,6
WORDS,334,いつも,いつも,1,everytime,mọi lúc,adverb,,1
WORDS,335,大抵,たいてい,3,usually,thường xuyên,adverb,1,
WORDS,336,よく,よく,3,often,thường,adverb,,1
WORDS,337,時々,ときどき,2,sometimes,thỉnh thoảng,adverb,1,
WORDS,338,あまり,あまり,3,not much,không nhiều,adverb,1,
WORDS,339,全然,ぜんぜん,3,not at all,không có gì,adverb,1,
WORDS,340,とても,とても,2,very,rất,adverb,1,
WORDS,341,もっと,もっと,3,more,hơn,adverb,,1
WORDS,342,たくさん,たくさん,1,a lot,nhiều ,adverb,1,
WORDS,343,少し,すこし,1,a bit,một chút,adverb,1,2
WORDS,344,ゆっくり,ゆっくり,1,slowly,chậm,adverb,1,3
WORDS,345,もう,もう,3,already,đã,adverb,,1
WORDS,346,大きい,おおきい,1,big,to lớn,i_adjective,1,3
WORDS,347,小さい,ちいさい,1,small,bé nhỏ,i_adjective,1,3
WORDS,348,高い,たかい,1,expensive,đắt,i_adjective,1,2
WORDS,349,安い,やすい,2,cheap,rẻ,i_adjective,1,2
WORDS,350,低い,ひくい,1,low,thấp,i_adjective,1,2
WORDS,351,良い,よい,1,good,tốt,i_adjective,,1
WORDS,352,悪い,わるい,1,bad,xấu,i_adjective,1,2
WORDS,353,遠い,とおい,1,far,xa,i_adjective,1,2
WORDS,354,近い,ちかい,1,close,đóng,i_adjective,1,2
WORDS,355,新しい,あたらしい,1,new,mới,i_adjective,1,4
WORDS,356,古い,ふるい,1,old,cũ,i_adjective,1,2
WORDS,357,辛い,からい,2,hard,cứng,i_adjective,1,2
WORDS,358,甘い,あまい,2,sweet,ngọt ,i_adjective,1,2
WORDS,359,苦い,にがい,3,bitter,vị đắng,i_adjective,1,2
WORDS,360,難しい,むずかしい,1,difficult,khó ,i_adjective,1,4
WORDS,361,若い,わかい,3,young,trẻ,i_adjective,1,2
WORDS,362,長い,ながい,2,long,dài,i_adjective,1,2
WORDS,363,短い,みじかい,2,short,ngắn,i_adjective,1,3
WORDS,364,早い,はやい,2,early,sớm,i_adjective,1,2
WORDS,365,遅い,おそい,2,slow,chậm,i_adjective,1,2
WORDS,366,うるさい,うるさい,3,noisy,ồn ào,i_adjective,1,3
WORDS,367,明るい,あかるい,3,bright,sáng,i_adjective,1,2
WORDS,368,暗い,くらい,3,dark,tối tăm,i_adjective,1,2
WORDS,369,汚い,きたない,2,dirty,bẩn thỉu,i_adjective,1,3
WORDS,370,面白い,おもしろい,2,interesting,hấp dẫn,i_adjective,1,4
WORDS,371,つまらない,つまらない,3,boring,nhạt nhẽo,i_adjective,1,3
WORDS,372,嬉しい,うれしい,2,happy,vui mừng,i_adjective,1,3
WORDS,373,悲しい,かなしい,2,sad,buồn,i_adjective,1,3
WORDS,374,楽しい,たのしい,1,fun,vui vẻ,i_adjective,1,3
WORDS,375,寂しい,さびしい,3,lonely,cô đơn,i_adjective,1,3
WORDS,376,怖い,こわい,3,scared,sợ hãi,i_adjective,1,2
WORDS,377,暑い,あつい,1,hot,nóng,i_adjective,1,2
WORDS,378,寒い,さむい,1,cold,lạnh lẽo,i_adjective,1,2
WORDS,379,冷たい,つめたい,2,cold,lạnh lẽo,i_adjective,1,3
WORDS,380,暖かい,あたたかい,2,warm,ấm,i_adjective,1,4
WORDS,381,涼しい,すずしい,3,cool,mát mẻ,i_adjective,1,3
WORDS,383,狭い,せまい,2,narrow,chật hẹp,i_adjective,1,2
WORDS,384,広い,ひろい,2,wide,rộng,i_adjective,1,2
WORDS,385,忙しい,いそがしい,3,busy,bận,i_adjective,1,4
WORDS,386,親切,しんせつ,3,kindness,lòng tốt,na_adjective,,1
WORDS,387,簡単な,かんたんな,1,easy,dễ,na_adjective,1,
WORDS,388,綺麗な,きれいな,1,beautiful,xinh đẹp,na_adjective,,1
WORDS,389,有名,ゆうめい,3,famous,nổi tiếng,na_adjective,1,
WORDS,390,ハンサム,ハンサム,3,good looking,đẹp trai,na_adjective,,1
WORDS,391,賑やか,にぎやか,3,busy,bận,na_adjective,1,2
WORDS,392,静か,しずか,3,quiet,im lặng,na_adjective,,1
WORDS,393,上手な,じょうずな,2,good,tốt,na_adjective,1,3
WORDS,394,下手な,へたな,2,poor,nghèo,na_adjective,1,2
WORDS,395,好きな,すきな,1,favorite,yêu thích,na_adjective,1,2
WORDS,396,嫌いな,きらいな,1,i hate,tôi ghét,na_adjective,1,
WORDS,397,暇な,ひまな,3,bored,chán,na_adjective,1,
WORDS,398,何,なに,1,what,gì,pronoun,,1
WORDS,399,どれ,どれ,2,which one,cái nào,pronoun,,1
WORDS,400,誰,だれ,1,who,ai,pronoun,,1
WORDS,401,誰の,だれの,2,whose,của ai,attribute,,1
WORDS,402,いつ,いつ,1,when,khi,adverb,,1
WORDS,403,どこ,どこ,1,where,ở đâu,pronoun,,1
WORDS,404,どうして,どうして,2,why,tại sao,adverb,,1
WORDS,405,美味しい,おいしい,1,delicious,thơm ngon,i_adjective,1,3
WORDS,406,女性,じょせい,3,woman,đàn bà,noun,1,
WORDS,407,男性,だんせい,3,male,nam giới,noun,1,
WORDS,408,優しい,やさしい,1,kind,loại,i_adjective,1,3
WORDS,409,どの,どの,3,which,cái mà,attribute,,1
WORDS,500,有ります,あります,2,there is,có (vật),verb5,1,3
WORDS,501,居ます,います,2,to be,có (người),verb1up,1,2
WORDS,502,何時,なんじ,6,what time,mấy giờ,noun,,1
WORDS,503,朝,あさ,2,morning,buổi sáng,noun,,1
WORDS,504,昼,ひる,2,noon/daytime,buổi trưa,noun,1,
