PK,SK,word,kanji
WORD#217,KANJI#127,紙,紙
WORD#219,KANJI#746,筆箱,筆
WORD#219,KANJI#357,筆箱,箱
WORD#220,KANJI#423,計算機,機
WORD#220,KANJI#744,計算機,算
WORD#220,KANJI#114,計算機,計
WORD#221,KANJI#198,家,家
WORD#222,KANJI#273,玄関,関
WORD#222,KANJI#1520,玄関,玄
WORD#223,KANJI#219,台所,台
WORD#223,KANJI#467,台所,所
WORD#224,KANJI#278,部屋,部
WORD#224,KANJI#196,部屋,屋
WORD#227,KANJI#42,椅子,子
WORD#228,KANJI#845,机,机
WORD#229,KANJI#459,押し入れ,押
WORD#229,KANJI#65,押し入れ,入
WORD#230,KANJI#1660,本棚,棚
WORD#230,KANJI#29,本棚,本
WORD#231,KANJI#360,窓,窓
WORD#232,KANJI#416,階段,段
WORD#232,KANJI#635,階段,階
WORD#234,KANJI#772,花瓶,瓶
WORD#234,KANJI#119,花瓶,花
WORD#235,KANJI#196,屋根,屋
WORD#235,KANJI#833,屋根,根
WORD#238,KANJI#34,日曜日,日
WORD#238,KANJI#167,日曜日,曜
WORD#239,KANJI#34,月曜日,日
WORD#239,KANJI#31,月曜日,月
WORD#239,KANJI#167,月曜日,曜
WORD#240,KANJI#21,火曜日,火
WORD#240,KANJI#34,火曜日,日
WORD#240,KANJI#167,火曜日,曜
WORD#241,KANJI#34,水曜日,日
WORD#241,KANJI#22,水曜日,水
WORD#241,KANJI#167,水曜日,曜
WORD#242,KANJI#30,木曜日,木
WORD#242,KANJI#34,木曜日,日
WORD#242,KANJI#167,木曜日,曜
WORD#243,KANJI#34,金曜日,日
WORD#243,KANJI#7,金曜日,金
WORD#243,KANJI#167,金曜日,曜
WORD#244,KANJI#34,土曜日,日
WORD#244,KANJI#47,土曜日,土
WORD#244,KANJI#167,土曜日,曜
WORD#245,KANJI#80,一昨日,一
WORD#245,KANJI#34,一昨日,日
WORD#245,KANJI#444,一昨日,昨
WORD#246,KANJI#34,昨日,日
WORD#246,KANJI#444,昨日,昨
WORD#247,KANJI#69,今日,今
WORD#247,KANJI#34,今日,日
WORD#248,KANJI#171,明日,明
WORD#248,KANJI#34,明日,日
WORD#249,KANJI#171,明後日,明
WORD#249,KANJI#34,明後日,日
WORD#249,KANJI#35,明後日,後
WORD#250,KANJI#66,先週,先
WORD#250,KANJI#101,先週,週
WORD#251,KANJI#101,今週,週
WORD#251,KANJI#69,今週,今
WORD#252,KANJI#28,来週,来
WORD#252,KANJI#101,来週,週
WORD#253,KANJI#66,先月,先
WORD#253,KANJI#31,先月,月
WORD#254,KANJI#69,今月,今
WORD#254,KANJI#31,今月,月
WORD#255,KANJI#28,来月,来
WORD#255,KANJI#31,来月,月
WORD#256,KANJI#36,去年,年
WORD#256,KANJI#222,去年,去
WORD#257,KANJI#36,今年,年
WORD#257,KANJI#69,今年,今
WORD#258,KANJI#28,来年,来
WORD#258,KANJI#36,来年,年
WORD#259,KANJI#34,毎日,日
WORD#259,KANJI#24,毎日,毎
WORD#260,KANJI#101,毎週,週
WORD#260,KANJI#24,毎週,毎
WORD#261,KANJI#443,毎晩,晩
WORD#261,KANJI#24,毎晩,毎
WORD#262,KANJI#164,今朝,朝
WORD#262,KANJI#69,今朝,今
WORD#263,KANJI#69,今晩,今
WORD#263,KANJI#443,今晩,晩
WORD#264,KANJI#205,昨夜,夜
WORD#264,KANJI#444,昨夜,昨
WORD#265,KANJI#1201,誕生日,誕
WORD#265,KANJI#19,誕生日,生
WORD#265,KANJI#34,誕生日,日
WORD#266,KANJI#162,音楽,楽
WORD#266,KANJI#91,音楽,音
WORD#270,KANJI#589,働きます,働
WORD#271,KANJI#14,行きます,行
WORD#272,KANJI#194,帰ります,帰
WORD#273,KANJI#87,飲みます,飲
WORD#274,KANJI#9,読みます,読
WORD#275,KANJI#112,買います,買
WORD#276,KANJI#15,聞きます,聞
WORD#277,KANJI#1759,撮ります,撮
WORD#278,KANJI#239,会います,会
WORD#279,KANJI#550,吸います,吸
WORD#280,KANJI#228,切ります,切
WORD#281,KANJI#126,終わります,終
WORD#282,KANJI#125,習います,習
WORD#283,KANJI#111,貸します,貸
WORD#285,KANJI#359,笑います,笑
WORD#286,KANJI#401,渡します,渡
WORD#288,KANJI#161,歌います,歌
WORD#289,KANJI#662,踊ります,踊
WORD#290,KANJI#1888,弾きます,弾
WORD#291,KANJI#1610,泣きます,泣
WORD#292,KANJI#482,怒ります,怒
WORD#293,KANJI#115,言います,言
WORD#294,KANJI#11,話します,話
WORD#295,KANJI#129,立ちます,立
WORD#296,KANJI#497,座ります,座
WORD#297,KANJI#61,出します,出
WORD#298,KANJI#238,住みます,住
WORD#299,KANJI#236,作ります,作
WORD#300,KANJI#209,売ります,売
WORD#301,KANJI#235,使います,使
WORD#302,KANJI#285,遊びます,遊
WORD#304,KANJI#184,急ぎます,急
WORD#307,KANJI#107,起きます,起
WORD#308,KANJI#510,寝ます,寝
WORD#309,KANJI#2,食べます,食
WORD#310,KANJI#12,見せます,見
WORD#311,KANJI#61,出かけます,出
WORD#312,KANJI#804,浴びます,浴
WORD#314,KANJI#202,始めます,始
WORD#315,KANJI#179,教えます,教
WORD#316,KANJI#234,借ります,借
WORD#318,KANJI#65,入れます,入
WORD#319,KANJI#106,足ります,足
WORD#320,KANJI#566,勤めます,勤
WORD#321,KANJI#95,開けます,開
WORD#322,KANJI#274,閉めます,閉
WORD#324,KANJI#404,消します,消
WORD#325,KANJI#225,勉強します,勉
WORD#325,KANJI#188,勉強します,強
WORD#326,KANJI#244,食事します,事
WORD#326,KANJI#2,食事します,食
WORD#327,KANJI#28,来ます,来
WORD#331,KANJI#125,練習します,習
WORD#331,KANJI#726,練習します,練
WORD#332,KANJI#876,復習します,復
WORD#332,KANJI#125,復習します,習
WORD#333,KANJI#1381,結婚します,結
WORD#333,KANJI#526,結婚します,婚
WORD#335,KANJI#45,大抵,大
WORD#335,KANJI#1803,大抵,抵
WORD#337,KANJI#33,時々,時
WORD#339,KANJI#586,全然,全
WORD#339,KANJI#396,全然,然
WORD#343,KANJI#197,少し,少
WORD#346,KANJI#45,大きい,大
WORD#347,KANJI#40,小さい,小
WORD#348,KANJI#1,高い,高
WORD#349,KANJI#200,安い,安
WORD#350,KANJI#972,低い,低
WORD#351,KANJI#334,良い,良
WORD#352,KANJI#183,悪い,悪
WORD#353,KANJI#281,遠い,遠
WORD#354,KANJI#104,近い,近
WORD#355,KANJI#176,新しい,新
WORD#356,KANJI#220,古い,古
WORD#357,KANJI#655,辛い,辛
WORD#358,KANJI#771,甘い,甘
WORD#359,KANJI#332,苦い,苦
WORD#360,KANJI#264,難しい,難
WORD#361,KANJI#333,若い,若
WORD#362,KANJI#6,長い,長
WORD#363,KANJI#762,短い,短
WORD#364,KANJI#172,早い,早
WORD#365,KANJI#286,遅い,遅
WORD#367,KANJI#171,明るい,明
WORD#368,KANJI#440,暗い,暗
WORD#369,KANJI#816,汚い,汚
WORD#370,KANJI#260,面白い,面
WORD#370,KANJI#17,面白い,白
WORD#372,KANJI#1981,嬉しい,嬉
WORD#373,KANJI#476,悲しい,悲
WORD#374,KANJI#162,楽しい,楽
WORD#375,KANJI#1965,寂しい,寂
WORD#376,KANJI#481,怖い,怖
WORD#377,KANJI#1711,暑い,暑
WORD#378,KANJI#511,寒い,寒
WORD#379,KANJI#582,冷たい,冷
WORD#380,KANJI#1710,暖かい,暖
WORD#381,KANJI#801,涼しい,涼
WORD#383,KANJI#1530,狭い,狭
WORD#384,KANJI#193,広い,広
WORD#385,KANJI#484,忙しい,忙
WORD#386,KANJI#228,親切,切
WORD#386,KANJI#116,親切,親
WORD#387,KANJI#564,簡単,単
WORD#387,KANJI#741,簡単,簡
WORD#388,KANJI#1370,綺麗,綺
WORD#388,KANJI#993,綺麗,麗
WORD#389,KANJI#166,有名,有
WORD#389,KANJI#50,有名,名
WORD#392,KANJI#262,静か,静
WORD#393,KANJI#181,上手な,手
WORD#393,KANJI#76,上手な,上
WORD#394,KANJI#181,下手な,手
WORD#394,KANJI#75,下手な,下
WORD#395,KANJI#529,好きな,好
WORD#396,KANJI#1983,嫌いな,嫌
WORD#397,KANJI#1713,暇な,暇
WORD#398,KANJI#67,何,何
WORD#405,KANJI#344,美味しい,美
WORD#405,KANJI#217,美味しい,味
WORD#406,KANJI#43,女性,女
WORD#406,KANJI#480,女性,性
WORD#407,KANJI#18,男性,男
WORD#407,KANJI#480,男性,性
WORD#408,KANJI#588,優しい,優
