ID,sentence,level,hurigana,english,vietnamese,chinese,korean,indonesian,hindi,grammar,,1,2,3,4,5,6,7,8,9,10,word1_name,word1_id,word2_name,word2_id,word3_name,word3_id,word4_name,word4_id,word5_name,word5_id,word6_name,word6_id,word7_name,word7_id,word8_name,word8_id,word9_name,word9_id,word10_name,word10_id,word11_name,word11_id,word12_name,word12_id,word13_name,word13_id,word14_name,word14_id,EntityType,length,check
14,こうえんに行きましょう。,2,公園に行きましょう。,Let’s go to the park.,Hãy đi đến công viên.,我们去公园吧。,공원에 갑시다.,Ayo pergi ke taman.,चलो पार्क चलते हैं।,71,意向形（〜ましょう）,がっこう,ホテル,くうこう,いき,ます,ません,ない,ましょう,行く,を,こうえん,,に,,行き,271,ましょう,,,,,,,,,,,,,,,,,,,,,,Sentence,12,TRUE
15,おとうとはコーヒーをのみません。,2,弟はコーヒーを飲みません。,My younger brother doesn’t drink coffee.,Em trai tôi không uống cà phê.,弟弟不喝咖啡。,남동생은 커피를 마시지 않습니다.,Adik laki-laki tidak minum kopi.,छोटा भाई कॉफ़ी नहीं पीता है।,78,V + ません,いもうと,おにいさん,おちゃ,ます,すき,たべ,ましょう,ジュース,みず,で,おとうと,,は,,コーヒー,,を,,のみ,273,ません,,,,,,,,,,,,,,,,,,Sentence,16,TRUE
16,お父さんはくうこうに行きます。,2,お父さんは空港に行きます。,My father goes to the airport.,Cha tôi đi đến sân bay.,爸爸去机场。,아버지는 공항에 갑니다.,Ayah pergi ke bandara.,पिताजी हवाई अड्डे जाते हैं।,82,〜に（基本助詞）,おかあさん,おじいさん,おばあさん,で,はたらき,かえり,ません,いく,かえる,はたらく,お父さん,85,は,,くうこう,,に,,行き,271,ます,,,,,,,,,,,,,,,,,,Sentence,15,TRUE
17,きょうのよるは何をたべますか。,2,きょうの夜は何を食べますか。,What will you eat tonight?,Tối nay bạn ăn gì?,今晚吃什么？,오늘 밤에 무엇을 먹습니까?,Malam ini makan apa?,आज रात को क्या खाओगे?,146,何（疑問詞）,あさ,みず,みせ,ねこ,いえ,ともだち,がっこう,で,かさ,のみます,きょう,,の,,よる,,は,,何,398,を,,たべます,309,か,,,,,,,,,,,,,,Sentence,15,TRUE
18,あしたはだれと会いますか。,2,あしたは誰と会いますか。,Who will you meet tomorrow?,Ngày mai bạn gặp ai?,明天和谁见面？,내일 누구를 만날 것입니까?,Besok bertemu dengan siapa?,कल किससे मिलोगे?,147,誰（疑問詞）,どこ,いき,ほん,すいようび,の,いぬ,が,つくえ,に,ねます,あした,,は,,だれ,,と,,会い,278,ます,,か,,,,,,,,,,,,,,,,Sentence,13,TRUE
19,れいぞうこに何かありますか。,2,冷蔵庫に何かありますか。,Is there anything in the refrigerator?,Trong tủ lạnh có gì không?,冰箱里有什么吗？,냉장고에 무엇이 있습니까?,Apakah ada sesuatu di kulkas?,फ्रिज में कुछ है क्या?,146,何（疑問詞）,まど,を,あけて,つくります,あさごはん,の,おちゃ,に,します,ねこ,れいぞうこ,,に,,何か,398,あり,,ます,,か,,,,,,,,,,,,,,,,,,Sentence,14,TRUE
20,へやにだれかいますか。,2,部屋に誰かいますか。,Is there anyone in the room?,Trong phòng có ai không?,房间里有人吗？,방에 누가 있습니까?,Apakah ada orang di kamar?,कमरे में कोई है क्या?,147,誰（疑問詞）,そと,で,べんきょう,を,のみます,ともだち,に,かさ,は,およぎます,へや,,に,,だれか,,い,,ます,,か,,,,,,,,,,,,,,,,,,Sentence,11,TRUE
21,いっしょにテニスをしませんか。,3,一緒にテニスをしませんか。,Shall we play tennis together?,Cùng chơi tennis nhé?,要不要一起打网球？,함께 테니스 치지 않겠습니까?,Mau main tenis bersama?,क्या आप साथ में टेनिस खेलेंगे?,8,〜ませんか,あそび,ましょう,の,すき,に,おどり,を,よみ,ました,から,いっしょ,591,に,,テニス,,を,,し,,ません,,か,,,,,,,,,,,,,,,,Sentence,15,TRUE
22,にほんごのノートを見せてください。,3,日本語のノートを見せてください。,Please show me your Japanese notebook.,Làm ơn cho tôi xem vở tiếng Nhật.,请给我看日语笔记本。,일본어 노트를 보여주세요.,Tolong tunjukkan catatan Jepang.,कृपया जापानी नोटबुक दिखाएँ।,9,Vてください,ほん,を,かりて,おきます,いぬ,と,うた,を,うたい,ます,にほんご,,の,,ノート,,を,,見せて,310,ください,,,,,,,,,,,,,,,,,,Sentence,17,TRUE
23,おなかがすいたからひるごはんを食べます。,3,お腹が空いたから昼御飯を食べます。,"I’m hungry, so I’ll eat lunch.",Vì đói bụng nên tôi ăn trưa.,肚子饿了所以吃午饭。,배가 고파서 점심을 먹습니다.,"Karena lapar, saya makan siang.",मुझे भूख लगी है इसलिए दोपहर का खाना खाऊँगा।,23,〜から（理由）,あさ,に,みず,を,のみ,たい,です,ねむい,の,です,おなか,,が,,すいた,850,から,,ひるごはん,,を,,食べ,309,ます,,,,,,,,,,,,,,Sentence,20,TRUE
24,ここでしゃしんをとってもいいです。,3,ここで写真を撮ってもいいです。,You may take photos here.,Bạn có thể chụp ảnh ở đây.,可以在这里拍照。,여기서 사진을 찍어도 됩니다.,Boleh mengambil foto di sini.,यहाँ फोटो लेना ठीक है।,29,〜てもいいです,まど,に,すわって,ください,いけません,ながい,は,おおきい,うた,を,ここ,,で,,しゃしん,,を,,とって,277,も,,いい,351,です,,,,,,,,,,,,,,Sentence,17,TRUE
25,そのまどにさわってはいけません。,3,その窓に触ってはいけません。,Don’t touch that window.,Không được chạm vào cửa sổ đó.,不可以碰那个窗户。,그 창문을 만지면 안 됩니다.,Tidak boleh menyentuh jendela itu.,उस खिड़की को नहीं छूना चाहिए।,30,〜てはいけません,つくえ,の,うえ,に,ねこ,が,います,いき,たい,ですね,その,,まど,,に,,さわって,829,は,,いけ,,ません,,,,,,,,,,,,,,,,Sentence,16,TRUE
26,大きいこえでうたってはいけない。,3,大きい声で歌ってはいけない。,You must not sing loudly.,Không được hát to.,不可以大声唱歌。,큰 소리로 노래하면 안 된다.,Tidak boleh bernyanyi keras.,ज़ोर से गाना नहीं चाहिए।,42,禁止形（〜てはいけない）,あさ,に,ちいさい,てがみ,を,かいて,も,いい,です,よ,大きい,346,こえ,,で,,うたって,288,は,,いけない,,,,,,,,,,,,,,,,,,Sentence,16,TRUE
28,にわに犬がいます。,3,庭に犬がいます。,There is a dog in the garden.,Trong vườn có con chó.,院子里有狗。,마당에 개가 있습니다.,Ada anjing di halaman.,बगीचे में कुत्ता है।,49,助詞 が（主格／存在）,そと,で,はな,を,み,ます,さかな,に,の,です,にわ,,に,,犬,2,が,,い,501,ます,,,,,,,,,,,,,,,,,,Sentence,9,TRUE
29,お兄さんはバスでかえります。,3,お兄さんはバスで帰ります。,My older brother goes home by bus.,Anh trai tôi về bằng xe buýt.,哥哥乘巴士回家。,형은 버스로 돌아옵니다.,Kakak laki-laki pulang dengan bus.,बड़ा भाई बस से लौटता है।,50,助詞 で（手段）,ぱん,と,ごはん,を,のんで,います,すし,に,きって,ください,お兄さん,89,は,,バス,,で,,かえり,272,ます,,,,,,,,,,,,,,,,,,Sentence,14,TRUE
30,きのうの天気はすずしかったです。,3,きのうの天気は涼しかったです。,The weather was cool yesterday.,Thời tiết hôm qua mát mẻ.,昨天的天气很凉快。,어제 날씨는 시원했습니다.,Cuaca kemarin sejuk.,कल मौसम ठंडा था।,56,形容詞（い形）過去形,あつい,さむい,なつ,に,いき,ました,いま,は,あめ,です,きのう,,の,,天気,581,は,,すずし,381,かった,,です,,,,,,,,,,,,,,,,Sentence,16,TRUE
31,きのうのよるはしずかでした。,3,きのうの夜は静かでした。,It was quiet last night.,Đêm qua yên tĩnh.,昨晚很安静。,어젯밤은 조용했습니다.,Tadi malam sepi.,कल रात शांत थी।,58,形容詞（な形）過去形,にぎやか,です,まいにち,の,ひる,いえ,に,いました,つかれた,です,きのう,,の,,よる,,は,,しずか,392,でした,,,,,,,,,,,,,,,,,,Sentence,14,TRUE
32,きんようびにお父さんは友だちと会います。,3,金曜日にお父さんは友だちと会います。,My father meets his friend on Friday.,"Vào thứ sáu, cha tôi gặp bạn.",爸爸周五和朋友见面。,아버지는 금요일에 친구를 만납니다.,Ayah bertemu teman pada hari Jumat.,पिताजी शुक्रवार को दोस्त से मिलते हैं।,61,時間表現（〜曜日）,どようび,で,しごと,を,します,に,でかけ,ます,はな,を,きんようび,,に,,お父さん,85,は,,友だち,83,と,,会い,2534,ます,,,,,,,,,,,,,,Sentence,20,TRUE
33,お母さんはおかしをどこでかいましたか。,3,お母さんはお菓子をどこで買いましたか。,Where did your mother buy sweets?,Mẹ bạn mua bánh kẹo ở đâu?,妈妈在哪里买的零食？,어머니는 과자를 어디에서 샀습니까?,Di mana Ibu membeli camilan?,माँ ने मिठाई कहाँ से खरीदी?,148,どこ（疑問詞）,みせ,に,ねこ,が,いました,きょう,の,すーぱー,で,みました,お母さん,87,は,,おかし,,を,,どこで,403,かい,275,ました,,か,,,,,,,,,,,,,,Sentence,19,TRUE
34,おばあさんはいつかえりますか。,3,お婆さんはいつ帰りますか。,When will your grandmother come home?,Bà bạn khi nào về?,奶奶什么时候回来？,할머니는 언제 돌아오십니까?,Kapan Nenek kembali?,दादी कब वापस आएँगी?,149,いつ（疑問詞）,あさって,に,ねます,か,で,いき,ます,たぶん,いい,です,おばあさん,,は,,いつ,,かえり,272,ます,,か,,,,,,,,,,,,,,,,,,Sentence,15,TRUE
35,はるとあきのどちらがすきですか。,3,春と秋のどちらが好きですか。,"Which do you like, spring or autumn?",Bạn thích mùa xuân hay mùa thu?,春天和秋天你喜欢哪个？,봄과 가을 중 어느 것을 좋아합니까?,"Mana yang Anda suka, musim semi atau musim gugur?",बसंत और पतझड़ में से क्या पसंद है?,150,どちら（疑問詞）,なつ,ふゆ,いま,の,てんき,は,すごい,ですね,きょう,も,はる,,と,,あきの,80,どちら,,が,,すき,395,です,395,か,,,,,,,,,,,,,,Sentence,16,TRUE
36,にちようびはどこかへ行きますか。,3,日曜日はどこかへ行きますか。,Will you go somewhere on Sunday?,Chủ nhật bạn có đi đâu không?,星期天去哪里吗？,일요일에 어디로 갑니까?,Apakah Anda pergi ke suatu tempat pada hari Minggu?,क्या आप रविवार को कहीं जा रहे हैं?,154,どこか（不定代名詞）,がっこう,の,ともだち,と,べんきょう,を,します,よ,あそび,ません,にちようび,,は,,どこ,,か,,へ,,行き,271,ます,,か,,,,,,,,,,,,,,Sentence,16,TRUE
37,いつか日本の歌を歌いたいです。,4,いつか日本の歌を歌いたいです。,I want to sing a Japanese song someday.,Tôi muốn hát một bài hát Nhật Bản vào một ngày nào đó.,我想有朝一日唱日本歌。,언젠가 일본 노래를 부르고 싶습니다.,Suatu hari saya ingin menyanyikan lagu Jepang.,मैं कभी जापानी गाना गाना चाहता हूँ।,155,いつか（不定代名詞）,まいにち,おどり,を,みて,たのしい,です,ほん,を,よみ,ます,いつか,,日本,37,の,,歌,664,を,,歌い,288,たい,288,です,,,,,,,,,,,,,,Sentence,15,TRUE
38,白と黒のどちらかをえらんでください。,4,白と黒のどちらかを選んでください。,Please choose either white or black.,Hãy chọn một trong hai: trắng hoặc đen.,请选择白色或黑色。,흰색과 검은색 중 하나를 선택하십시오.,"Silakan pilih salah satu, putih atau hitam.",सफेद और काले में से कोई एक चुनें।,156,どちらか（不定代名詞）,みどり,あか,あお,きいろ,は,だめ,ねこ,に,つくえ,を,白,656,と,,黒の,686,どちらか,713,を,,えらんで,646,ください,646,,,,,,,,,,,,,,,Sentence,18,TRUE
39,いまお母さんはケーキをつくっています。,4,今、お母さんはケーキを作っています。,My mother is making a cake now.,Bây giờ mẹ tôi đang làm bánh.,妈妈现在正在做蛋糕。,어머니는 지금 케이크를 만들고 있습니다.,Ibu sedang membuat kue sekarang.,माँ अभी केक बना रही है।,10,Vています（動作の進行中）,きのう,あした,りんご,かって,すし,の,ともだち,で,あそんで,みせ,いま,,お母さん,87,は,,ケーキ,,を,,つくって,299,います,,,,,,,,,,,,,,,,Sentence,19,TRUE
40,わたしは毎日コーヒーをのんでいます。,4,私は毎日コーヒーを飲んでいます。,I drink coffee every day.,Tôi uống cà phê mỗi ngày.,我每天都喝咖啡。,저는 매일 커피를 마시고 있습니다.,Saya minum kopi setiap hari.,मैं रोज़ कॉफ़ी पीता हूँ।,11,Vている（状態／習慣）,あなた,いま,あした,パン,すし,と,みます,に,たべて,が,わたし,,は,,毎日,259,コーヒー,,を,,のんで,273,います,,,,,,,,,,,,,,,,Sentence,18,TRUE
41,ここで写真をとらないでください。,4,ここで写真を撮らないでください。,Please don’t take pictures here.,Xin đừng chụp ảnh ở đây.,请不要在这里拍照。,여기서 사진을 찍지 마십시오.,Jangan mengambil foto di sini.,कृपया यहाँ फोटो न लें।,12,〜ないでください,そこ,あそこで,かって,のんで,ねないで,はいって,みせて,は,てにす,きいて,ここ,,で,,写真,546,を,,とら,277,ないで,,ください,,,,,,,,,,,,,,,,Sentence,16,TRUE
42,こんどの休みに映画を見たいです。,4,今度の休みに映画を見たいです。,I want to watch a movie on my next holiday.,Kỳ nghỉ tới tôi muốn xem phim.,下次休息我想看电影。,다음 휴일에 영화를 보고 싶습니다.,Saya ingin menonton film liburan berikutnya.,अगली छुट्टी पर फिल्म देखना चाहता हूँ।,14,〜たいです,きのう,らいしゅう,えき,いえ,のみたい,すし,でかけたい,あいます,がっこう,にほん,こんど,,の,,休み,,に,,映画,2095,を,,見たい,7,です,,,,,,,,,,,,,,Sentence,16,TRUE
43,わたしはラーメンを食べたことがあります。,5,私はラーメンを食べたことがあります。,I have eaten ramen before.,Tôi đã từng ăn mì ramen.,我吃过拉面。,저는 라면을 먹어 본 적이 있습니다.,Saya pernah makan ramen.,मैंने कभी न कभी रामेन खाया है।,15,〜たことがあります,あなた,にほん,の,のみ,いき,りんご,から,たべたい,すし,に,わたし,,は,,ラーメン,,を,,食べた,309,こと,,が,,あります,TRUE,,,,,,,,,,,,,Sentence,20,TRUE
44,ごはんを食べてからしゅくだいをします。,4,ごはんを食べてから宿題をします。,I’ll do my homework after eating.,Tôi làm bài tập sau khi ăn cơm.,吃完饭后做作业。,밥을 먹은 후에 숙제를 합니다.,"Setelah makan, saya akan mengerjakan PR.",खाना खाने के बाद होमवर्क करूँगा।,21,Vてから,パン,のんで,みて,あとで,すぐ,に,たべ,が,えいが,して,ごはん,,を,,食べて,309,から,,しゅくだい,,を,,します,TRUE,,,,,,,,,,,,,,,Sentence,19,TRUE
45,つくえの上に本やペンがあります。,4,机の上に本やペンがあります。,There are books and pens on the desk.,Trên bàn có sách và bút.,桌子上有书和笔。,책상 위에 책이나 펜이 있습니다.,Ada buku dan pulpen di atas meja.,डेस्क पर किताबें और पेन हैं।,48,助詞 や（並列）,いす,した,にわ,えんぴつ,まど,ねこ,と,は,あそび,じしょ,つくえ,,の,,上,518,に,,本,560,や,,ペンが,211,あります,TRUE,,,,,,,,,,,,,Sentence,16,TRUE
46,うさぎは馬より小さいです。,4,兎は馬より小さいです。,A rabbit is smaller than a horse.,Thỏ nhỏ hơn ngựa.,兔子比马小。,토끼는 말보다 작습니다.,Kelinci lebih kecil daripada kuda.,खरगोश घोड़े से छोटा है।,62,比較（〜は〜より）,いぬ,ねこ,おおきい,すき,の,に,はやい,あかい,かわいい,ですか,うさぎ,,は,,馬,5,より,,小さい,347,です,,,,,,,,,,,,,,,,,,Sentence,13,TRUE
47,レストランよりカフェの方が好きです。,4,レストランよりカフェのほうが好きです。,I like cafés more than restaurants.,Tôi thích quán cà phê hơn nhà hàng.,比起餐厅我更喜欢咖啡馆。,레스토랑보다 카페를 더 좋아합니다.,Saya lebih suka kafe daripada restoran.,रेस्टोरेंट से ज़्यादा कैफे पसंद है।,63,比較（〜のほうが）,スーパー,えき,いえ,は,おいしい,きれい,に,いちばん,から,します,レストラン,,より,,カフェの,54,方,5185,が,,好き,395,です,,,,,,,,,,,,,,,,Sentence,18,TRUE
48,あの山は日本で一ばん高いです。,5,あの山は、日本で一番高いです。,That mountain is the highest in Japan.,Ngọn núi kia là cao nhất ở Nhật Bản.,那座山是日本最高的。,저 산은 일본에서 가장 높습니다.,Gunung itu yang tertinggi di Jepang.,वह पहाड़ जापान में सबसे ऊँचा है।,64,比較（いちばん）,かわ,いけ,そら,すこし,ふじさん,の,に,ながい,くらい,おおきい,あの,,山,139,は,,日本,37,で,,一ばん,661,高い,348,です,,,,,,,,,,,,,,Sentence,15,TRUE
49,あした友だちと映画館へ行きます。,4,あした友だちと映画館へ行きます。,I will go to the cinema with my friend tomorrow.,Ngày mai tôi đi xem phim với bạn.,明天和朋友去电影院。,내일 친구와 영화관에 갑니다.,Besok saya pergi ke bioskop dengan teman.,कल दोस्त के साथ सिनेमा हॉल जाऊँगा।,66,場所方向（〜へ）,きのう,に,がっこう,レストラン,いきたい,えき,から,かえり,すし,は,あした,,友だち,83,と,,映画館,57,へ,,行き,271,ます,,,,,,,,,,,,,,,,Sentence,16,TRUE
50,このスープはあたたかくないです。,4,このスープは温かくないです。,This soup is not warm.,Súp này không ấm.,这个汤不热。,이 수프는 따뜻하지 않습니다.,Sup ini tidak hangat.,यह सूप गरम नहीं है।,76,くない（い形容詞の否定）,さむい,つめたい,の,きれい,たかい,すき,でした,が,ですか,よ,この,,スープ,,は,,あたたかく,380,ない,,です,,,,,,,,,,,,,,,,,,Sentence,16,TRUE
51,この町はしずかではないです。,4,この町は静かではないです。,This town is not quiet.,Thị trấn này không yên tĩnh.,这个城市不安静。,이 도시는 조용하지 않습니다.,Kota ini tidak sepi.,यह शहर शांत नहीं है।,141,ではない（な形容詞の否定）,にぎやか,ひろい,ちいさい,きれい,かわいい,すき,の,いそがしい,まえ,に,この,,町,72,は,,しずか,392,では,,ない,,です,,,,,,,,,,,,,,,,Sentence,14,TRUE
52,どうやって東京へ行きますか。,4,どうやって東京へ行きますか。,How do you go to Tokyo?,Làm sao để đi đến Tokyo?,怎么去东京？,어떻게 도쿄에 갑니까?,Bagaimana cara pergi ke Tokyo?,टोक्यो कैसे जाएँगे?,151,どうやって（疑問詞）,なに,どこ,バス,で,から,の,まし,どうして,だれ,します,どうやって,,東京,2652,へ,,行き,271,ます,,か,,,,,,,,,,,,,,,,,,Sentence,14,TRUE
53,日本人はどうやってすしを食べますか。,4,日本人はどうやって寿司を食べますか。,How do Japanese people eat sushi?,Người Nhật ăn sushi như thế nào?,日本人怎么吃寿司？,일본 사람은 어떻게 초밥을 먹습니까?,Bagaimana orang Jepang makan sushi?,जापानी लोग सुशी कैसे खाते हैं?,157,どうやって（不定代名詞）,パン,の,なに,どの,りんご,てにす,を,のみます,つくり,は,日本人,5098,は,,どうやって,,すし,,を,,食べ,309,ます,,か,,,,,,,,,,,,,,Sentence,18,TRUE
54,きのうの昼ごはんはどうでしたか。,4,きのうの昼御飯はどうでしたか。,How was lunch yesterday?,Bữa trưa hôm qua thế nào?,昨天的午饭怎么样？,어제 점심은 어땠습니까?,Bagaimana makan siang kemarin?,कल का दोपहर का खाना कैसा था?,158,どうでしたか,あした,ばんごはん,なに,すき,おいしい,に,の,どんな,どうして,でしたか,きのう,,の,,昼ごはん,172,は,,どう,,でした,,か,,,,,,,,,,,,,,,,Sentence,16,TRUE
55,お父さんは会社へ行かなければなりません。,5,お父さんは会社へ行かなければなりません。,My father must go to the office.,Cha tôi phải đi làm.,爸爸必须去公司。,아버지는 회사에 가야 합니다.,Ayah harus pergi ke kantor.,पिताजी को कंपनी जाना पड़ेगा।,13,〜なければなりません,,,,,,,,,,,お父さん,85,は,,会社,52,へ,,行か,271,なけれ,,ば,,なりません,,,,,,,,,,,,,,Sentence,20,TRUE
56,あした私は食べたり飲んだりします。,5,あした私は食べたり飲んだりします。,Tomorrow I will eat and drink.,Ngày mai tôi sẽ ăn và uống.,明天我要吃吃喝喝。,내일 저는 먹거나 마시거나 할 것입니다.,Besok saya akan makan dan minum.,कल मैं खाऊँगा और पीऊँगा।,16,〜たり〜たりします,,,,,,,,,,,あした,248,私,5074,は,,食べ,309,たり,,飲んだり,273,します,TRUE,,,,,,,,,,,,,,,Sentence,17,TRUE
57,春になるとあたたかくなります。,5,春になると暖かくなります。,It becomes warm in spring.,Khi đến mùa xuân thì trời ấm lên.,到春天就会变暖和。,봄이 되면 따뜻해집니다.,"Kalau musim semi tiba, akan menjadi hangat.","जब बसंत आती है, तो मौसम गरम हो जाता है।",17,〜くなります／〜になります,,,,,,,,,,,春,78,に,,なる,,と,,あたたかく,380,なり,,ます,,,,,,,,,,,,,,,,Sentence,15,TRUE
58,私はこの本はおもしろいと思います。,5,私はこの本は面白いと思います。,I think this book is interesting.,Tôi nghĩ cuốn sách này thú vị.,我觉得这本书很有趣。,저는 이 책이 재미있다고 생각합니다.,Saya pikir buku ini menarik.,मुझे लगता है कि यह किताब मज़ेदार है।,18,〜と思います,,,,,,,,,,,私は,5074,この,,本,560,は,,おもしろい,,と,,思います,,,,,,,,,,,,,,,,Sentence,17,TRUE
59,先生は休みですと言いました。,5,先生は、休みですと言いました。,The teacher said,Giáo viên nói rằng hôm nay nghỉ.,老师说他休息了。,선생님은 쉽니다라고 말했습니다.,Guru berkata bahwa dia libur.,शिक्षक ने कहा कि वह छुट्टी पर है।,19,〜と言います,,,,,,,,,,,先生,29,は,,休み,,です,,と,,言い,293,ました,,,,,,,,,,,,,,,,Sentence,14,TRUE
60,あしたの天気は雨でしょう。,5,あしたの天気は雨でしょう。,It will probably rain tomorrow.,Thời tiết ngày mai có lẽ sẽ mưa.,明天的天气会是雨。,내일 날씨는 비가 올 것입니다.,Cuaca besok mungkin hujan.,कल मौसम बारिश का होगा।,20,〜でしょう,,,,,,,,,,,あした,,の,,天気,581,は,,雨,,でしょう,,,,,,,,,,,,,,,,,,Sentence,13,TRUE
