PK,SK,character,english,vietnamese,strokes,onyomi,kunyomi,level
KANJI,198,家,,,,,,
KANJI,199,室,,,,,,
KANJI,200,安,cheap,rẻ,6,あん,やすい,3
KANJI,201,字,,,,,,
KANJI,202,始,,,,,,
KANJI,203,姉,,,,,,
KANJI,204,妹,,,,,,
KANJI,205,夜,,,,,,
KANJI,206,多,,,,,,
KANJI,207,夕,,,,,,
KANJI,208,夏,,,,,,
KANJI,209,売,,,,,,
KANJI,210,場,,,,,,
KANJI,211,堂,,,,,,
KANJI,212,地,,,,,,
KANJI,213,図,,,,,,
KANJI,214,問,,,,,,
KANJI,215,員,,,,,,
KANJI,216,品,,,,,,
KANJI,217,味,,,,,,
KANJI,218,同,same,như nhau,6,どう,おなじ,3
KANJI,219,台,,,,,,
KANJI,220,古,old,cũ,5,こ,ふるい,3
KANJI,221,口,mouth,miệng,3,こう,くち,2
KANJI,222,去,,,,,,
KANJI,223,医,,,,,,
KANJI,224,動,,,,,,
KANJI,225,勉,,,,,,
KANJI,226,力,,,,,,
KANJI,227,別,,,,,,
KANJI,228,切,,,,,,
KANJI,229,冬,,,,,,
KANJI,230,写,,,,,,
KANJI,231,公,,,,,,
KANJI,232,兄,,,,,,
KANJI,233,元,,,,,,
KANJI,234,借,,,,,,
KANJI,235,使,,,,,,
KANJI,236,作,,,,,,
KANJI,237,体,,,,,,
KANJI,238,住,,,,,,
KANJI,239,会,association,sự kết hợp,6,かい,あう,3
KANJI,240,以,,,,,,
KANJI,241,代,,,,,,
KANJI,242,仕,,,,,,
KANJI,243,京,,,,,,
KANJI,244,事,,,,,,
KANJI,245,主,,,,,,
KANJI,246,世,,,,,,
KANJI,247,不,,,,,,
KANJI,248,鳴,,,,,,
KANJI,249,髪,,,,,,
KANJI,250,馬,,,,,,
KANJI,251,首,,,,,,
KANJI,252,飛,,,,,,
KANJI,253,類,,,,,,
KANJI,254,願,,,,,,
KANJI,255,顔,,,,,,
KANJI,256,頼,,,,,,
KANJI,257,頭,,,,,,
KANJI,258,頂,,,,,,
KANJI,259,靴,,,,,,
KANJI,260,面,,,,,,
KANJI,261,非,,,,,,
KANJI,262,静,,,,,,
KANJI,263,雪,,,,,,
KANJI,264,難,,,,,,
KANJI,265,雑,,,,,,
KANJI,266,際,,,,,,
KANJI,267,陽,,,,,,
KANJI,268,険,,,,,,
KANJI,269,除,,,,,,
KANJI,270,限,,,,,,
KANJI,271,降,,,,,,
KANJI,272,阪,,,,,,
KANJI,273,関,,,,,,
KANJI,274,閉,,,,,,
KANJI,275,酒,,,,,,
KANJI,276,配,,,,,,
KANJI,277,都,,,,,,
KANJI,278,部,,,,,,
KANJI,279,選,,,,,,
KANJI,280,適,,,,,,
KANJI,281,遠,,,,,,
KANJI,282,違,,,,,,
KANJI,283,達,,,,,,
KANJI,284,過,,,,,,
KANJI,285,遊,,,,,,
KANJI,286,遅,,,,,,
KANJI,287,進,,,,,,
KANJI,288,連,,,,,,
KANJI,289,速,,,,,,
KANJI,290,途,,,,,,
KANJI,291,逃,,,,,,
KANJI,292,退,,,,,,
KANJI,293,追,,,,,,
KANJI,294,迷,,,,,,
KANJI,295,返,,,,,,
KANJI,296,迎,,,,,,
KANJI,297,込,,,,,,
KANJI,298,辞,,,,,,
KANJI,299,身,,,,,,
KANJI,300,路,,,,,,
KANJI,301,越,,,,,,
KANJI,302,賛,,,,,,
KANJI,303,資,,,,,,
KANJI,304,費,,,,,,
KANJI,305,責,,,,,,
KANJI,306,貧,,,,,,
KANJI,307,財,,,,,,
KANJI,308,負,,,,,,
KANJI,309,議,,,,,,
KANJI,310,警,,,,,,
KANJI,311,識,,,,,,
KANJI,312,論,,,,,,
KANJI,313,談,,,,,,
KANJI,314,調,,,,,,
KANJI,315,説,,,,,,
KANJI,316,誤,,,,,,
KANJI,317,認,,,,,,
KANJI,318,許,,,,,,
KANJI,319,訪,,,,,,
KANJI,320,記,,,,,,
KANJI,321,解,,,,,,
KANJI,322,観,,,,,,
KANJI,323,覚,,,,,,
KANJI,324,規,,,,,,
KANJI,325,要,,,,,,
KANJI,326,表,,,,,,
KANJI,327,術,,,,,,
KANJI,328,薬,,,,,,
KANJI,329,葉,,,,,,
KANJI,330,落,,,,,,
KANJI,331,草,,,,,,
KANJI,332,苦,,,,,,
KANJI,333,若,,,,,,
KANJI,334,良,,,,,,
KANJI,335,船,,,,,,
KANJI,336,舞,,,,,,
KANJI,337,腹,,,,,,
KANJI,338,能,,,,,,
KANJI,339,背,,,,,,
KANJI,340,育,,,,,,
KANJI,341,職,,,,,,
KANJI,342,耳,,,,,,
KANJI,343,老,,,,,,
KANJI,344,美,,,,,,
KANJI,345,置,,,,,,
KANJI,346,罪,,,,,,
KANJI,347,緒,,,,,,
KANJI,348,続,,,,,,
KANJI,349,絶,,,,,,
KANJI,350,絵,,,,,,
KANJI,351,給,,,,,,
KANJI,352,経,,,,,,
KANJI,353,組,,,,,,
KANJI,354,約,,,,,,
KANJI,355,精,,,,,,
KANJI,356,米,,,,,,
KANJI,357,箱,,,,,,
KANJI,358,等,,,,,,
KANJI,359,笑,,,,,,
KANJI,360,窓,,,,,,
KANJI,361,突,,,,,,
KANJI,362,積,,,,,,
KANJI,363,種,,,,,,
KANJI,364,程,,,,,,
KANJI,365,科,,,,,,
KANJI,366,福,,,,,,
KANJI,367,神,,,,,,
KANJI,368,祖,,,,,,
KANJI,369,礼,,,,,,
KANJI,370,示,,,,,,
KANJI,371,確,,,,,,
KANJI,372,破,,,,,,
KANJI,373,石,,,,,,
KANJI,374,眠,,,,,,
KANJI,375,相,,,,,,
KANJI,376,直,,,,,,
KANJI,377,盗,,,,,,
KANJI,378,皆,,,,,,
KANJI,379,登,,,,,,
KANJI,380,痛,,,,,,
KANJI,381,疲,,,,,,
KANJI,382,疑,,,,,,
KANJI,383,番,,,,,,
KANJI,384,留,,,,,,
KANJI,385,申,,,,,,
KANJI,386,由,,,,,,
KANJI,387,産,,,,,,
KANJI,388,球,,,,,,
KANJI,389,現,,,,,,
KANJI,390,王,,,,,,
KANJI,391,猫,cat,mèo,11,びょう,ねこ,4
KANJI,392,状,,,,,,
KANJI,393,犯,,,,,,
KANJI,394,熱,,,,,,
KANJI,395,煙,,,,,,
KANJI,396,然,,,,,,
KANJI,397,点,,,,,,
KANJI,398,演,,,,,,
KANJI,399,満,,,,,,
KANJI,400,港,,,,,,
KANJI,401,渡,,,,,,
KANJI,402,済,,,,,,
KANJI,403,深,,,,,,
KANJI,404,消,,,,,,
KANJI,405,浮,,,,,,
KANJI,406,流,,,,,,
KANJI,407,活,,,,,,
KANJI,408,洗,,,,,,
KANJI,409,泳,,,,,,
KANJI,410,法,,,,,,
KANJI,411,治,,,,,,
KANJI,412,決,,,,,,
KANJI,413,求,,,,,,
KANJI,414,民,,,,,,
KANJI,415,殺,,,,,,
KANJI,416,段,,,,,,
KANJI,417,残,,,,,,
KANJI,418,歳,,,,,,
KANJI,419,歯,,,,,,
KANJI,420,欲,,,,,,
KANJI,421,次,,,,,,
KANJI,422,欠,,,,,,
KANJI,423,機,,,,,,
KANJI,424,横,,,,,,
KANJI,425,権,,,,,,
KANJI,426,様,,,,,,
KANJI,427,構,,,,,,
KANJI,428,格,,,,,,
KANJI,429,果,,,,,,
KANJI,430,杯,,,,,,
KANJI,431,束,,,,,,
KANJI,432,末,,,,,,
KANJI,433,未,,,,,,
KANJI,434,期,,,,,,
KANJI,435,望,,,,,,
KANJI,436,最,,,,,,
KANJI,437,更,,,,,,
KANJI,438,曲,,,,,,
KANJI,439,暮,,,,,,
KANJI,440,暗,,,,,,
KANJI,441,晴,,,,,,
KANJI,442,景,,,,,,
KANJI,443,晩,,,,,,
KANJI,444,昨,,,,,,
KANJI,445,昔,,,,,,
KANJI,446,易,,,,,,
KANJI,447,断,,,,,,
KANJI,448,数,,,,,,
KANJI,449,散,,,,,,
KANJI,450,敗,,,,,,
KANJI,451,政,,,,,,
KANJI,452,放,,,,,,
KANJI,453,支,,,,,,
KANJI,454,探,,,,,,
KANJI,455,掛,,,,,,
KANJI,456,捕,,,,,,
KANJI,457,指,,,,,,
KANJI,458,招,,,,,,
KANJI,459,押,,,,,,
KANJI,460,抱,,,,,,
KANJI,461,抜,,,,,,
KANJI,462,折,,,,,,
KANJI,463,投,,,,,,
KANJI,464,払,,,,,,
KANJI,465,打,,,,,,
KANJI,466,才,,,,,,
KANJI,467,所,,,,,,
KANJI,468,戻,,,,,,
KANJI,469,戦,,,,,,
KANJI,470,成,,,,,,
KANJI,471,慣,,,,,,
KANJI,472,感,,,,,,
KANJI,473,愛,,,,,,
KANJI,474,想,,,,,,
KANJI,475,情,,,,,,
KANJI,476,悲,,,,,,
KANJI,477,息,,,,,,
KANJI,478,恥,,,,,,
KANJI,479,恐,,,,,,
KANJI,480,性,,,,,,
KANJI,481,怖,,,,,,
KANJI,482,怒,,,,,,
KANJI,483,念,,,,,,
KANJI,484,忙,,,,,,
KANJI,485,忘,,,,,,
KANJI,486,必,,,,,,
KANJI,487,御,,,,,,
KANJI,488,得,,,,,,
KANJI,489,徒,,,,,,
KANJI,490,彼,,,,,,
KANJI,491,役,,,,,,
KANJI,492,形,,,,,,
KANJI,493,当,,,,,,
KANJI,494,引,,,,,,
KANJI,495,式,,,,,,
KANJI,496,庭,,,,,,
KANJI,497,座,,,,,,
KANJI,498,幾,,,,,,
KANJI,499,幸,,,,,,
KANJI,500,平,,,,,,
KANJI,501,常,,,,,,
KANJI,502,席,,,,,,
KANJI,503,師,,,,,,
KANJI,504,市,,,,,,
KANJI,505,差,,,,,,
KANJI,506,居,,,,,,
KANJI,507,局,,,,,,
KANJI,508,対,,,,,,
KANJI,509,察,,,,,,
KANJI,510,寝,,,,,,
KANJI,511,寒,,,,,,
KANJI,512,富,,,,,,
KANJI,513,寄,,,,,,
KANJI,514,宿,,,,,,
KANJI,515,容,,,,,,
KANJI,516,害,,,,,,
KANJI,517,客,,,,,,
KANJI,518,実,,,,,,
KANJI,519,定,,,,,,
KANJI,520,官,,,,,,
KANJI,521,完,,,,,,
KANJI,522,守,,,,,,
KANJI,523,宅,,,,,,
KANJI,524,存,,,,,,
KANJI,525,婦,,,,,,
KANJI,526,婚,,,,,,
KANJI,527,娘,,,,,,
KANJI,528,妻,,,,,,
KANJI,529,好,,,,,,
KANJI,530,失,,,,,,
KANJI,531,夫,,,,,,
KANJI,532,太,,,,,,
KANJI,533,夢,,,,,,
KANJI,534,変,,,,,,
KANJI,535,声,,,,,,
KANJI,536,増,,,,,,
KANJI,537,報,,,,,,
KANJI,538,在,,,,,,
KANJI,539,園,,,,,,
KANJI,540,困,,,,,,
KANJI,541,因,,,,,,
KANJI,542,回,,,,,,
KANJI,543,喜,,,,,,
KANJI,544,商,,,,,,
KANJI,545,和,,,,,,
KANJI,546,命,,,,,,
KANJI,547,呼,,,,,,
KANJI,548,告,,,,,,
KANJI,549,吹,,,,,,
KANJI,550,吸,,,,,,
KANJI,551,否,,,,,,
KANJI,552,君,,,,,,
KANJI,553,向,,,,,,
KANJI,554,合,,,,,,
KANJI,555,号,,,,,,
KANJI,556,可,,,,,,
KANJI,557,受,,,,,,
KANJI,558,取,,,,,,
KANJI,559,収,,,,,,
KANJI,560,反,,,,,,
KANJI,561,参,,,,,,
KANJI,562,原,,,,,,
KANJI,563,危,,,,,,
KANJI,564,単,,,,,,
KANJI,565,化,,,,,,
KANJI,566,勤,,,,,,
KANJI,567,勝,,,,,,
KANJI,568,務,,,,,,
KANJI,569,労,,,,,,
KANJI,570,努,,,,,,
KANJI,571,助,,,,,,
KANJI,572,加,,,,,,
KANJI,573,割,,,,,,
KANJI,574,刻,,,,,,
KANJI,575,制,,,,,,
KANJI,576,到,,,,,,
KANJI,577,利,,,,,,
KANJI,578,判,,,,,,
KANJI,579,初,,,,,,
KANJI,580,列,,,,,,
KANJI,581,処,,,,,,
KANJI,582,冷,,,,,,
KANJI,583,内,,,,,,
KANJI,584,具,,,,,,
KANJI,585,共,,,,,,
KANJI,586,全,,,,,,
KANJI,587,光,,,,,,
KANJI,588,優,,,,,,
KANJI,589,働,,,,,,
KANJI,590,備,,,,,,
KANJI,591,偶,,,,,,
KANJI,592,側,,,,,,
KANJI,593,偉,,,,,,
KANJI,594,値,,,,,,
KANJI,595,候,,,,,,
KANJI,596,倒,,,,,,
KANJI,597,信,,,,,,
KANJI,598,係,,,,,,
KANJI,599,便,,,,,,
KANJI,600,供,,,,,,
KANJI,601,例,,,,,,
KANJI,602,余,,,,,,
KANJI,603,位,,,,,,
KANJI,604,似,,,,,,
KANJI,605,伝,,,,,,
KANJI,606,任,,,,,,
KANJI,607,件,,,,,,
KANJI,608,付,,,,,,
KANJI,609,他,,,,,,
KANJI,610,交,,,,,,
KANJI,611,亡,,,,,,
KANJI,612,互,,,,,,
KANJI,613,争,,,,,,
KANJI,614,予,,,,,,
KANJI,615,乗,,,,,,
KANJI,616,両,,,,,,
KANJI,617,与,,,,,,
KANJI,618,齢,,,,,,
KANJI,619,鼻,,,,,,
KANJI,620,黄,,,,,,
KANJI,621,麦,,,,,,
KANJI,622,骨,,,,,,
KANJI,623,駐,,,,,,
KANJI,624,香,,,,,,
KANJI,625,額,,,,,,
KANJI,626,領,,,,,,
KANJI,627,預,,,,,,
KANJI,628,順,,,,,,
KANJI,629,革,,,,,,
KANJI,630,震,,,,,,
KANJI,631,零,,,,,,
KANJI,632,雲,,,,,,
KANJI,633,雇,,,,,,
KANJI,634,隻,,,,,,
KANJI,635,階,,,,,,
KANJI,636,隅,,,,,,
KANJI,637,陸,,,,,,
KANJI,638,防,,,,,,
KANJI,639,門,,,,,,
KANJI,640,録,,,,,,
KANJI,641,鋭,,,,,,
KANJI,642,銅,,,,,,
KANJI,643,鉱,,,,,,
KANJI,644,鉄,,,,,,
KANJI,645,鈍,,,,,,
KANJI,646,針,,,,,,
KANJI,647,量,,,,,,
KANJI,648,郵,,,,,,
KANJI,649,郊,,,,,,
KANJI,650,造,,,,,,
KANJI,651,逆,,,,,,
KANJI,652,述,,,,,,
KANJI,653,辺,,,,,,
KANJI,654,農,,,,,,
KANJI,655,辛,,,,,,
KANJI,656,輸,,,,,,
KANJI,657,輪,,,,,,
KANJI,658,軽,,,,,,
KANJI,659,軟,,,,,,
KANJI,660,軒,,,,,,
KANJI,661,軍,,,,,,
KANJI,662,踊,,,,,,
KANJI,663,跡,,,,,,
KANJI,664,超,,,,,,
KANJI,665,贈,,,,,,
KANJI,666,賢,,,,,,
KANJI,667,賞,,,,,,
KANJI,668,貿,,,,,,
KANJI,669,貯,,,,,,
KANJI,670,販,,,,,,
KANJI,671,貨,,,,,,
KANJI,672,貝,,,,,,
KANJI,673,象,,,,,,
KANJI,674,豊,,,,,,
KANJI,675,谷,,,,,,
KANJI,676,講,,,,,,
KANJI,677,諸,,,,,,
KANJI,678,課,,,,,,
KANJI,679,誌,,,,,,
KANJI,680,詰,,,,,,
KANJI,681,詞,,,,,,
KANJI,682,設,,,,,,
KANJI,683,訓,,,,,,
KANJI,684,触,,,,,,
KANJI,685,角,,,,,,
KANJI,686,複,,,,,,
KANJI,687,補,,,,,,
KANJI,688,裏,,,,,,
KANJI,689,装,,,,,,
KANJI,690,被,,,,,,
KANJI,691,袋,,,,,,
KANJI,692,衣,,,,,,
KANJI,693,血,,,,,,
KANJI,694,虫,,,,,,
KANJI,695,薄,,,,,,
KANJI,696,蔵,,,,,,
KANJI,697,蒸,,,,,,
KANJI,698,著,,,,,,
KANJI,699,菜,,,,,,
KANJI,700,菓,,,,,,
KANJI,701,荷,,,,,,
KANJI,702,荒,,,,,,
KANJI,703,芸,,,,,,
KANJI,704,般,,,,,,
KANJI,705,航,,,,,,
KANJI,706,舟,,,,,,
KANJI,707,臣,,,,,,
KANJI,708,臓,,,,,,
KANJI,709,膚,,,,,,
KANJI,710,腰,,,,,,
KANJI,711,腕,,,,,,
KANJI,712,脳,,,,,,
KANJI,713,脂,,,,,,
KANJI,714,胸,,,,,,
KANJI,715,胃,,,,,,
KANJI,716,肯,,,,,,
KANJI,717,肩,,,,,,
KANJI,718,肌,,,,,,
KANJI,719,耕,,,,,,
KANJI,720,翌,,,,,,
KANJI,721,羽,,,,,,
KANJI,722,群,,,,,,
KANJI,723,署,,,,,,
KANJI,724,缶,,,,,,
KANJI,725,績,,,,,,
KANJI,726,練,,,,,,
KANJI,727,編,,,,,,
KANJI,728,線,,,,,,
KANJI,729,緑,,,,,,
KANJI,730,総,,,,,,
KANJI,731,綿,,,,,,
KANJI,732,絡,,,,,,
KANJI,733,紹,,,,,,
KANJI,734,細,,,,,,
KANJI,735,純,,,,,,
KANJI,736,紅,,,,,,
KANJI,737,糸,,,,,,
KANJI,738,粒,,,,,,
KANJI,739,粉,,,,,,
KANJI,740,籍,,,,,,
KANJI,741,簡,,,,,,
KANJI,742,築,,,,,,
KANJI,743,管,,,,,,
KANJI,744,算,,,,,,
KANJI,745,筒,,,,,,
KANJI,746,筆,,,,,,
KANJI,747,符,,,,,,
KANJI,748,竹,,,,,,
KANJI,749,競,,,,,,
KANJI,750,童,,,,,,
KANJI,751,章,,,,,,
KANJI,752,税,,,,,,
KANJI,753,移,,,,,,
KANJI,754,秒,,,,,,
KANJI,755,禁,,,,,,
KANJI,756,祭,,,,,,
KANJI,757,祝,,,,,,
KANJI,758,祈,,,,,,
KANJI,759,磨,,,,,,
KANJI,760,硬,,,,,,
KANJI,761,砂,,,,,,
KANJI,762,短,,,,,,
KANJI,763,県,,,,,,
KANJI,764,省,,,,,,
KANJI,765,皿,,,,,,
KANJI,766,皮,,,,,,
KANJI,767,療,,,,,,
KANJI,768,畳,,,,,,
KANJI,769,略,,,,,,
KANJI,770,畜,,,,,,
KANJI,771,甘,,,,,,
KANJI,772,瓶,,,,,,
KANJI,773,珍,,,,,,
KANJI,774,玉,,,,,,
KANJI,775,版,,,,,,
KANJI,776,片,,,,,,
KANJI,777,爆,,,,,,
KANJI,778,燥,,,,,,
KANJI,779,燃,,,,,,
KANJI,780,照,,,,,,
KANJI,781,焼,,,,,,
KANJI,782,無,,,,,,
KANJI,783,炭,,,,,,
KANJI,784,灰,,,,,,
KANJI,785,灯,,,,,,
KANJI,786,濯,,,,,,
KANJI,787,濃,,,,,,
KANJI,788,漁,,,,,,
KANJI,789,滴,,,,,,
KANJI,790,溶,,,,,,
KANJI,791,準,,,,,,
KANJI,792,湿,,,,,,
KANJI,793,湾,,,,,,
KANJI,794,湯,,,,,,
KANJI,795,湖,,,,,,
KANJI,796,測,,,,,,
KANJI,797,温,,,,,,
KANJI,798,減,,,,,,
KANJI,799,清,,,,,,
KANJI,800,混,,,,,,
KANJI,801,涼,,,,,,
KANJI,802,液,,,,,,
KANJI,803,涙,,,,,,
KANJI,804,浴,,,,,,
KANJI,805,浅,,,,,,
KANJI,806,泥,,,,,,
KANJI,807,波,,,,,,
KANJI,808,泊,,,,,,
KANJI,809,泉,,,,,,
KANJI,810,況,,,,,,
KANJI,811,油,,,,,,
KANJI,812,沸,,,,,,
KANJI,813,河,,,,,,
KANJI,814,沈,,,,,,
KANJI,815,池,,,,,,
KANJI,816,汚,,,,,,
KANJI,817,汗,,,,,,
KANJI,818,永,,,,,,
KANJI,819,氷,,,,,,
KANJI,820,毛,,,,,,
KANJI,821,比,,,,,,
KANJI,822,毒,,,,,,
KANJI,823,殿,,,,,,
KANJI,824,歴,,,,,,
KANJI,825,武,,,,,,
KANJI,826,欧,,,,,,
